Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.533,483.087,1.435,258,-1.629
SokobanLearning,0.533,485.285,1.452,259,-1.623
SokobanLearning,0.532,487.506,1.460,262,-1.622
SokobanLearning,0.531,489.689,1.426,261,-1.623
SokobanLearning,0.529,491.895,1.452,259,-1.625
SokobanLearning,0.533,494.039,1.399,258,-1.625
SokobanLearning,0.528,496.190,1.424,262,-1.627
SokobanLearning,0.531,498.394,1.491,262,-1.626
SokobanLearning,0.529,500.586,1.440,261,-1.626
SokobanLearning,0.530,502.746,1.424,259,-1.628
SokobanLearning,0.529,504.928,1.436,260,-1.628
SokobanLearning,0.527,507.033,1.368,260,-1.629
SokobanLearning,0.525,509.180,1.424,259,-1.628
SokobanLearning,0.529,511.368,1.446,262,-1.627
SokobanLearning,0.531,513.577,1.453,260,-1.628
SokobanLearning,0.531,515.742,1.436,258,-1.628
SokobanLearning,0.529,517.911,1.412,259,-1.630
SokobanLearning,0.530,520.097,1.432,258,-1.632
SokobanLearning,0.530,522.271,1.445,260,-1.633
SokobanLearning,0.527,524.402,1.389,260,-1.633
SokobanLearning,0.522,526.531,1.400,261,-1.633
SokobanLearning,0.519,528.662,1.394,262,-1.634
SokobanLearning,0.522,530.788,1.398,260,-1.635
SokobanLearning,0.521,532.887,1.372,260,-1.636
SokobanLearning,0.528,535.051,1.422,262,-1.637
SokobanLearning,0.525,537.303,1.509,262,-1.636
SokobanLearning,0.526,539.484,1.457,260,-1.636
SokobanLearning,0.527,541.688,1.463,257,-1.636
SokobanLearning,0.532,543.976,1.536,260,-1.636
SokobanLearning,0.530,546.245,1.508,260,-1.637
SokobanLearning,0.530,548.489,1.536,258,-1.637
SokobanLearning,0.532,550.788,1.547,260,-1.637
SokobanLearning,0.537,553.074,1.521,260,-1.638
SokobanLearning,0.533,555.379,1.545,260,-1.639
SokobanLearning,0.537,557.692,1.553,262,-1.639
SokobanLearning,0.529,559.997,1.573,260,-1.640
